0 0.238 0.163 0.143 0 0.224 0 0 0.156 0 0.138 0.001 0.001 0 0 0.001 0 0.001 0
0.162 0.168 0 0.15 0.138 0 0.001 0.001 0.002 0.167 0.001 0 0.001 0.002 0.002 0.006 0 0.001 0.002
0.155 0.098 0.108 0.173 0.154 0.13 0 0.004 0.002 0.002 0.007 0.006 0.009 0.01 0.013 0.014 0.016 0.018 0.018
0.14 0.179 0 0.001 0.002 0.003 0.001 0.004 0.007 0.008 0.012 0.011 0.013 0.018 0.022 0.025 0.028 0.029 0.033
0 0 0.002 0.002 0.003 0.003 0.007 0.004 0.011 0.016 0.017 0.022 0.026 0.029 0.033 0.037 0.041 0.047 0.053
0 0 0 0 0.001 0.008 0.003 0.013 0.017 0.022 0.023 0.03 0.034 0.041 0.045 0.052 0.06 0.065 0.069
0 0 0 0.003 0 0.01 0.014 0.019 0.023 0.026 0.031 0.039 0.047 0.054 0.062 0.068 0.077 0.089 0.095
0.001 0.002 0 0.004 0.009 0.012 0.019 0.021 0.027 0.032 0.041 0.05 0.059 0.064 0.071 0.088 0.101 0.107 0.117
0 0 0.004 0.004 0.01 0.016 0.021 0.028 0.035 0.043 0.05 0.048 0.071 0.082 0.094 0.11 0.12 0.14 0.166
0.001 0.003 0.001 0.01 0.011 0.014 0.027 0.034 0.042 0.051 0.059 0.073 0.07 0.099 0.113 0.129 0.156 0.184 0.218
0.001 0.004 0.001 0.012 0.015 0.016 0.031 0.039 0.048 0.058 0.07 0.084 0.101 0.112 0.138 0.169 0.202 0.27 0.351
0 0.002 0.004 0.003 0.018 0.026 0.035 0.044 0.055 0.065 0.083 0.098 0.12 0.144 0.178 0.218 0.336 0.259 0.278
0 0.005 0.004 0.014 0.001 0.03 0.03 0.05 0.063 0.074 0.092 0.116 0.144 0.18 0.219 0.309 0.329 0.265 0.178
0.001 0.002 0.01 0.016 0.018 0.033 0.043 0.052 0.068 0.086 0.106 0.129 0.175 0.209 0.276 0.259 0.286 0.237 0.269
0.003 0.001 0.007 0.018 0.024 0.035 0.049 0.06 0.078 0.098 0.128 0.159 0.236 0.258 0.222 0.241 0.257 0.298 0.113
0.001 0.004 0.011 0.017 0.027 0.033 0.052 0.067 0.081 0.115 0.156 0.211 0.25 0.261 0.249 0.228 0.117 0.136 0.143
0.002 0.006 0.007 0.021 0.03 0.041 0.058 0.068 0.099 0.126 0.18 0.262 0.208 0.318 0.189 0.186 0.188 0.171 0.068
0.003 0.008 0.013 0.021 0.03 0.044 0.06 0.08 0.114 0.157 0.235 0.249 0.21 0.21 0.111 0.135 0.04 0.178 0.069
0.003 0.006 0.011 0.02 0.035 0.049 0.06 0.091 0.14 0.228 0.269 0.266 0.092 0.184 0.082 0.144 0.013 0.001 0.022
0.001 0.004 0.013 0.02 0.035 0.055 0.067 0.106 0.156 0.189 0.22 0.162 0.013 0.011 0.115 0.006 0.025 0.107 0.007
0.002 0.003 0.008 0.027 0.035 0.059 0.075 0.132 0.213 0.21 0.061 0.163 0.003 0.066 0.014 0.117 0.009 0.121 0.001
0 0.01 0.018 0.027 0.035 0.057 0.081 0.192 0.204 0.112 0.112 0.067 0.027 0.008 0.05 0.014 0 0.013 0.071
0.003 0.01 0.018 0.029 0.042 0.062 0.116 0.184 0.099 0.074 0.101 0.176 0.027 0.031 0.014 0.026 0.01 0.035 0.007
0.004 0.006 0.016 0.032 0.048 0.072 0.184 0.165 0.146 0.066 0.049 0.078 0.008 0.043 0.003 0.025 0.119 0.019 0.044
0.004 0.004 0.019 0.033 0.047 0.092 0.135 0.113 0.002 0.071 0.024 0.008 0.052 0.043 0.044 0.03 0.057 0.038 0.017
0.002 0.004 0.014 0.034 0.048 0.107 0.126 0.099 0.047 0.055 0 0.018 0.032 0.026 0.008 0.004 0.059 0.005 0.001
0.004 0.012 0.009 0.036 0.06 0.101 0.094 0.14 0.155 0.038 0.036 0 0.082 0 0.02 0.051 0.024 0.002 0.005
0.004 0.004 0.016 0.033 0.067 0.091 0.098 0.07 0.04 0.007 0.033 0.065 0.006 0.01 0.008 0.031 0.049 0.006 0.009
0 0.011 0.022 0.039 0.094 0.06 0.055 0.015 0.042 0.034 0.042 0.015 0.031 0.037 0.038 0.011 0.019 0.005 0.023
0 0.012 0.02 0.031 0.057 0.072 0.021 0.032 0.011 0.014 0.014 0.004 0.001 0.008 0.022 0.016 0.004 0.001 0.003
