0 0.414 0 0.359 0.419 0.395 0.001 0 0 0 0.002 0 0.001 0.002 0 0.371 0.005 0 0.005
0.352 0 0 0.001 0.252 0 0.001 0.001 0.002 0.001 0.006 0.008 0.007 0.001 0.014 0.005 0.001 0.011 0.024
0 0 0.002 0 0.004 0.006 0.007 0.402 0.01 0.016 0.008 0.022 0.025 0.012 0.031 0.037 0.042 0.046 0.052
0.401 0 0.003 0.004 0.005 0.002 0 0.01 0.012 0.023 0.028 0.036 0.043 0.049 0.053 0.062 0.071 0.073 0.083
0.435 0.002 0 0.001 0.006 0.013 0.02 0.024 0.033 0.034 0.043 0.054 0.057 0.072 0.079 0.091 0.089 0.108 0.119
0.001 0 0.004 0.01 0.009 0.021 0.02 0.035 0.041 0.054 0.064 0.071 0.086 0.097 0.11 0.117 0.118 0.152 0.156
0 0.002 0.005 0.005 0.02 0.014 0.037 0.045 0.052 0.066 0.08 0.085 0.094 0.116 0.117 0.145 0.157 0.18 0.211
0.001 0.001 0.005 0.018 0.012 0.034 0.045 0.057 0.069 0.081 0.089 0.114 0.13 0.121 0.168 0.15 0.182 0.211 0.204
0.002 0.005 0 0.02 0.029 0.04 0.053 0.065 0.078 0.086 0.11 0.128 0.155 0.12 0.161 0.196 0.218 0.244 0.279
0.001 0.007 0.008 0.019 0.034 0.043 0.051 0.073 0.075 0.106 0.132 0.139 0.172 0.188 0.204 0.25 0.254 0.286 0.336
0.002 0.008 0.016 0.023 0.037 0.053 0.061 0.073 0.103 0.123 0.144 0.17 0.189 0.211 0.236 0.268 0.314 0.347 0.387
0.003 0.009 0.019 0.014 0.039 0.058 0.071 0.08 0.105 0.13 0.138 0.183 0.216 0.225 0.273 0.315 0.348 0.392 0.442
0.004 0.011 0.02 0.028 0.047 0.064 0.079 0.097 0.121 0.144 0.173 0.169 0.234 0.26 0.31 0.344 0.399 0.444 0.444
0.002 0.012 0.004 0.002 0.048 0.067 0.088 0.11 0.135 0.131 0.175 0.207 0.254 0.299 0.342 0.389 0.45 0.434 0.414
0.002 0.011 0.016 0.037 0.052 0.063 0.085 0.108 0.135 0.172 0.203 0.231 0.278 0.337 0.39 0.415 0.443 0.45 0.374
0.006 0.012 0.025 0.035 0.048 0.077 0.095 0.123 0.155 0.169 0.217 0.263 0.313 0.383 0.431 0.431 0.433 0.428 0.333
0.002 0.002 0.015 0.037 0.042 0.078 0.101 0.129 0.16 0.193 0.239 0.293 0.361 0.433 0.387 0.376 0.368 0.384 0.415
0.007 0.016 0.001 0.037 0.059 0.08 0.106 0.14 0.171 0.222 0.268 0.372 0.385 0.338 0.407 0.386 0.297 0.3 0.049
0.002 0.016 0.03 0.036 0.064 0.08 0.113 0.144 0.182 0.244 0.297 0.332 0.341 0.418 0.381 0.284 0.328 0.023 0.001
0.003 0.003 0.029 0.048 0.068 0.079 0.112 0.16 0.212 0.29 0.353 0.267 0.352 0.318 0.26 0.124 0.095 0.136 0.311
0.006 0.017 0.016 0.049 0.071 0.084 0.128 0.17 0.23 0.295 0.389 0.367 0.344 0.24 0.066 0.067 0.018 0.053 0.074
0.006 0.01 0.031 0.035 0.067 0.095 0.13 0.183 0.306 0.279 0.293 0.349 0.361 0.045 0.049 0.166 0.248 0.023 0.028
0.008 0.001 0.026 0.048 0.077 0.097 0.141 0.236 0.286 0.32 0.263 0.023 0.241 0.24 0.082 0.007 0.07 0.012 0.065
0.008 0.017 0.026 0.053 0.078 0.106 0.153 0.235 0.365 0.179 0.266 0.091 0.056 0.107 0.079 0.001 0.123 0.011 0
0.005 0.018 0.021 0.043 0.078 0.11 0.202 0.297 0.248 0.196 0.018 0.199 0.039 0.022 0.015 0.1 0.004 0.065 0.099
0.007 0 0.033 0.051 0.08 0.121 0.21 0.219 0.152 0.143 0.205 0.081 0.129 0.024 0.055 0.033 0.058 0.04 0.077
0.004 0.011 0.034 0.055 0.084 0.144 0.205 0.217 0.15 0.077 0.002 0.043 0.009 0.074 0.032 0.084 0.089 0.001 0.01
0 0.016 0.032 0.051 0.09 0.191 0.157 0.076 0.025 0.092 0.046 0.075 0.011 0.002 0.106 0.043 0.023 0.111 0.137
0.001 0.014 0.019 0.051 0.092 0.101 0.161 0.18 0.075 0.006 0.02 0.013 0.034 0.014 0.015 0.066 0.01 0.046 0.007
0.003 0.004 0.034 0.221 0.186 0.161 0.16 0.093 0.01 0 0.01 0.033 0.046 0.012 0.031 0.008 0.056 0.05 0.037
